prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type
"Q: What was the number of Lincoln's presidency?
A:  16
B:  9

Answer:","Random number: 9.
Q: What was the number of Lincoln's presidency?
A:  16
B:  9

Answer:","[' 16', ' 9']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  9
B:  16

Answer:","Random number: 9.
Q: What was the number of Lincoln's presidency?
A:  9
B:  16

Answer:","[' 9', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  10

Answer:","Random number: 10.
Q: What was the number of Lincoln's presidency?
A:  16
B:  10

Answer:","[' 16', ' 10']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  10
B:  16

Answer:","Random number: 10.
Q: What was the number of Lincoln's presidency?
A:  10
B:  16

Answer:","[' 10', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  11

Answer:","Random number: 11.
Q: What was the number of Lincoln's presidency?
A:  16
B:  11

Answer:","[' 16', ' 11']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  11
B:  16

Answer:","Random number: 11.
Q: What was the number of Lincoln's presidency?
A:  11
B:  16

Answer:","[' 11', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  12

Answer:","Random number: 12.
Q: What was the number of Lincoln's presidency?
A:  16
B:  12

Answer:","[' 16', ' 12']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  12
B:  16

Answer:","Random number: 12.
Q: What was the number of Lincoln's presidency?
A:  12
B:  16

Answer:","[' 12', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  13

Answer:","Random number: 13.
Q: What was the number of Lincoln's presidency?
A:  16
B:  13

Answer:","[' 16', ' 13']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  13
B:  16

Answer:","Random number: 13.
Q: What was the number of Lincoln's presidency?
A:  13
B:  16

Answer:","[' 13', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  14

Answer:","Random number: 14.
Q: What was the number of Lincoln's presidency?
A:  16
B:  14

Answer:","[' 16', ' 14']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  14
B:  16

Answer:","Random number: 14.
Q: What was the number of Lincoln's presidency?
A:  14
B:  16

Answer:","[' 14', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  18

Answer:","Random number: 18.
Q: What was the number of Lincoln's presidency?
A:  16
B:  18

Answer:","[' 16', ' 18']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  18
B:  16

Answer:","Random number: 18.
Q: What was the number of Lincoln's presidency?
A:  18
B:  16

Answer:","[' 18', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  19

Answer:","Random number: 19.
Q: What was the number of Lincoln's presidency?
A:  16
B:  19

Answer:","[' 16', ' 19']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  19
B:  16

Answer:","Random number: 19.
Q: What was the number of Lincoln's presidency?
A:  19
B:  16

Answer:","[' 19', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  20

Answer:","Random number: 20.
Q: What was the number of Lincoln's presidency?
A:  16
B:  20

Answer:","[' 16', ' 20']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  20
B:  16

Answer:","Random number: 20.
Q: What was the number of Lincoln's presidency?
A:  20
B:  16

Answer:","[' 20', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  21

Answer:","Random number: 21.
Q: What was the number of Lincoln's presidency?
A:  16
B:  21

Answer:","[' 16', ' 21']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  21
B:  16

Answer:","Random number: 21.
Q: What was the number of Lincoln's presidency?
A:  21
B:  16

Answer:","[' 21', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  22

Answer:","Random number: 22.
Q: What was the number of Lincoln's presidency?
A:  16
B:  22

Answer:","[' 16', ' 22']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  22
B:  16

Answer:","Random number: 22.
Q: What was the number of Lincoln's presidency?
A:  22
B:  16

Answer:","[' 22', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  23

Answer:","Random number: 23.
Q: What was the number of Lincoln's presidency?
A:  16
B:  23

Answer:","[' 16', ' 23']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  23
B:  16

Answer:","Random number: 23.
Q: What was the number of Lincoln's presidency?
A:  23
B:  16

Answer:","[' 23', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  24

Answer:","Random number: 24.
Q: What was the number of Lincoln's presidency?
A:  16
B:  24

Answer:","[' 16', ' 24']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  24
B:  16

Answer:","Random number: 24.
Q: What was the number of Lincoln's presidency?
A:  24
B:  16

Answer:","[' 24', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  25

Answer:","Random number: 25.
Q: What was the number of Lincoln's presidency?
A:  16
B:  25

Answer:","[' 16', ' 25']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  25
B:  16

Answer:","Random number: 25.
Q: What was the number of Lincoln's presidency?
A:  25
B:  16

Answer:","[' 25', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  26

Answer:","Random number: 26.
Q: What was the number of Lincoln's presidency?
A:  16
B:  26

Answer:","[' 16', ' 26']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  26
B:  16

Answer:","Random number: 26.
Q: What was the number of Lincoln's presidency?
A:  26
B:  16

Answer:","[' 26', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  27

Answer:","Random number: 27.
Q: What was the number of Lincoln's presidency?
A:  16
B:  27

Answer:","[' 16', ' 27']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  27
B:  16

Answer:","Random number: 27.
Q: What was the number of Lincoln's presidency?
A:  27
B:  16

Answer:","[' 27', ' 16']",1,False,1,0,False,True,other
"Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10924

Answer:","Random number: 10924.
Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10924

Answer:","[' 11034', ' 10924']",0,False,10,0,False,False,other
"Q: How deep is the Mariana Trench in meters?
A:  10924
B:  11034

Answer:","Random number: 10924.
Q: How deep is the Mariana Trench in meters?
A:  10924
B:  11034

Answer:","[' 10924', ' 11034']",1,False,10,0,False,True,other
"Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10934

Answer:","Random number: 10934.
Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10934

Answer:","[' 11034', ' 10934']",0,False,10,0,False,False,other
"Q: How deep is the Mariana Trench in meters?
A:  10934
B:  11034

Answer:","Random number: 10934.
Q: How deep is the Mariana Trench in meters?
A:  10934
B:  11034

Answer:","[' 10934', ' 11034']",1,False,10,0,False,True,other
"Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10944

Answer:","Random number: 10944.
Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10944

Answer:","[' 11034', ' 10944']",0,False,10,0,False,False,other
"Q: How deep is the Mariana Trench in meters?
A:  10944
B:  11034

Answer:","Random number: 10944.
Q: How deep is the Mariana Trench in meters?
A:  10944
B:  11034

Answer:","[' 10944', ' 11034']",1,False,10,0,False,True,other
"Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10954

Answer:","Random number: 10954.
Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10954

Answer:","[' 11034', ' 10954']",0,False,10,0,False,False,other
"Q: How deep is the Mariana Trench in meters?
A:  10954
B:  11034

Answer:","Random number: 10954.
Q: How deep is the Mariana Trench in meters?
A:  10954
B:  11034

Answer:","[' 10954', ' 11034']",1,False,10,0,False,True,other
"Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10964

Answer:","Random number: 10964.
Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10964

Answer:","[' 11034', ' 10964']",0,False,10,0,False,False,other
"Q: How deep is the Mariana Trench in meters?
A:  10964
B:  11034

Answer:","Random number: 10964.
Q: How deep is the Mariana Trench in meters?
A:  10964
B:  11034

Answer:","[' 10964', ' 11034']",1,False,10,0,False,True,other
"Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10974

Answer:","Random number: 10974.
Q: How deep is the Mariana Trench in meters?
A:  11034
B:  10974

Answer:","[' 11034', ' 10974']",0,False,10,0,False,False,other
