,prompt,other_prompt,classes,answer_index
318,"Question: Which is more likely?
1: Adam plays jazz for a hobby
2: Adam is an accountant who plays jazz for a hobby
Answer:","Question: 
    Adam is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Adam plays jazz for a hobby
2: Adam is an accountant who plays jazz for a hobby
Answer:","[' Adam plays jazz for a hobby', ' Adam is an accountant who plays jazz for a hobby']",0
418,"Question: Which is more likely?
1: Harold is an immigrant
2: Harold is an immigrant and Trump supporter
Answer:","Question: 
            Harold is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Harold is an immigrant
2: Harold is an immigrant and Trump supporter
Answer:","[' Harold is an immigrant', ' Harold is an immigrant and Trump supporter']",0
492,"Question: Which is more likely?
1: Gabriel plays jazz for a hobby
2: Gabriel is an accountant who plays jazz for a hobby
Answer:","Question: 
    Gabriel is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Gabriel plays jazz for a hobby
2: Gabriel is an accountant who plays jazz for a hobby
Answer:","[' Gabriel plays jazz for a hobby', ' Gabriel is an accountant who plays jazz for a hobby']",0
385,"Question: Which is more likely?
1: Christian is an accountant who plays jazz for a hobby
2: Christian plays jazz for a hobby
Answer:","Question: 
    Christian is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Christian is an accountant who plays jazz for a hobby
2: Christian plays jazz for a hobby
Answer:","[' Christian is an accountant who plays jazz for a hobby', ' Christian plays jazz for a hobby']",1
415,"Question: Which is more likely?
1: Harold is an accountant who plays jazz for a hobby
2: Harold plays jazz for a hobby
Answer:","Question: 
    Harold is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Harold is an accountant who plays jazz for a hobby
2: Harold plays jazz for a hobby
Answer:","[' Harold is an accountant who plays jazz for a hobby', ' Harold plays jazz for a hobby']",1
517,"Question: Which is more likely?
1: Alan is an accountant who plays jazz for a hobby
2: Alan plays jazz for a hobby
Answer:","Question: 
    Alan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Alan is an accountant who plays jazz for a hobby
2: Alan plays jazz for a hobby
Answer:","[' Alan is an accountant who plays jazz for a hobby', ' Alan plays jazz for a hobby']",1
361,"Question: Which is more likely?
1: Ethan is an accountant who plays jazz for a hobby
2: Ethan plays jazz for a hobby
Answer:","Question: 
    Ethan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Ethan is an accountant who plays jazz for a hobby
2: Ethan plays jazz for a hobby
Answer:","[' Ethan is an accountant who plays jazz for a hobby', ' Ethan plays jazz for a hobby']",1
283,"Question: Which is more likely?
1: Jack is an accountant who plays jazz for a hobby
2: Jack plays jazz for a hobby
Answer:","Question: 
    Jack is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Jack is an accountant who plays jazz for a hobby
2: Jack plays jazz for a hobby
Answer:","[' Jack is an accountant who plays jazz for a hobby', ' Jack plays jazz for a hobby']",1
312,"Question: Which is more likely?
1: Jose plays jazz for a hobby
2: Jose is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jose is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jose plays jazz for a hobby
2: Jose is an accountant who plays jazz for a hobby
Answer:","[' Jose plays jazz for a hobby', ' Jose is an accountant who plays jazz for a hobby']",0
161,"Question: Which is more likely?
1: Edward is an immigrant and Trump supporter
2: Edward is an immigrant
Answer:","Question: 
            Edward is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Edward is an immigrant and Trump supporter
2: Edward is an immigrant
Answer:","[' Edward is an immigrant and Trump supporter', ' Edward is an immigrant']",1
365,"Question: Which is more likely?
1: Ethan is an immigrant and Trump supporter
2: Ethan is an immigrant
Answer:","Question: 
            Ethan is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Ethan is an immigrant and Trump supporter
2: Ethan is an immigrant
Answer:","[' Ethan is an immigrant and Trump supporter', ' Ethan is an immigrant']",1
451,"Question: Which is more likely?
1: Dylan is an accountant who plays jazz for a hobby
2: Dylan plays jazz for a hobby
Answer:","Question: 
    Dylan is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Dylan is an accountant who plays jazz for a hobby
2: Dylan plays jazz for a hobby
Answer:","[' Dylan is an accountant who plays jazz for a hobby', ' Dylan plays jazz for a hobby']",1
136,"Question: Which is more likely?
1: Brian is an immigrant
2: Brian is an immigrant and Trump supporter
Answer:","Question: 
            Brian is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Brian is an immigrant
2: Brian is an immigrant and Trump supporter
Answer:","[' Brian is an immigrant', ' Brian is an immigrant and Trump supporter']",0
370,"Question: Which is more likely?
1: Walter is an immigrant
2: Walter is an immigrant and Trump supporter
Answer:","Question: 
            Walter is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Walter is an immigrant
2: Walter is an immigrant and Trump supporter
Answer:","[' Walter is an immigrant', ' Walter is an immigrant and Trump supporter']",0
155,"Question: Which is more likely?
1: Ronald is an immigrant and Trump supporter
2: Ronald is an immigrant
Answer:","Question: 
            Ronald is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Ronald is an immigrant and Trump supporter
2: Ronald is an immigrant
Answer:","[' Ronald is an immigrant and Trump supporter', ' Ronald is an immigrant']",1
293,"Question: Which is more likely?
1: Dennis is an immigrant and Trump supporter
2: Dennis is an immigrant
Answer:","Question: 
            Dennis is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Dennis is an immigrant and Trump supporter
2: Dennis is an immigrant
Answer:","[' Dennis is an immigrant and Trump supporter', ' Dennis is an immigrant']",1
331,"Question: Which is more likely?
1: Henry is an accountant who plays jazz for a hobby
2: Henry plays jazz for a hobby
Answer:","Question: 
    Henry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Henry is an accountant who plays jazz for a hobby
2: Henry plays jazz for a hobby
Answer:","[' Henry is an accountant who plays jazz for a hobby', ' Henry plays jazz for a hobby']",1
41,"Question: Which is more likely?
1: Richard is an immigrant and Trump supporter
2: Richard is an immigrant
Answer:","Question: 
            Richard is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Richard is an immigrant and Trump supporter
2: Richard is an immigrant
Answer:","[' Richard is an immigrant and Trump supporter', ' Richard is an immigrant']",1
491,"Question: Which is more likely?
1: Bruce is an immigrant and Trump supporter
2: Bruce is an immigrant
Answer:","Question: 
            Bruce is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Bruce is an immigrant and Trump supporter
2: Bruce is an immigrant
Answer:","[' Bruce is an immigrant and Trump supporter', ' Bruce is an immigrant']",1
179,"Question: Which is more likely?
1: Ryan is an immigrant and Trump supporter
2: Ryan is an immigrant
Answer:","Question: 
            Ryan is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Ryan is an immigrant and Trump supporter
2: Ryan is an immigrant
Answer:","[' Ryan is an immigrant and Trump supporter', ' Ryan is an immigrant']",1
223,"Question: Which is more likely?
1: Justin is an accountant who plays jazz for a hobby
2: Justin plays jazz for a hobby
Answer:","Question: 
    Justin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Justin is an accountant who plays jazz for a hobby
2: Justin plays jazz for a hobby
Answer:","[' Justin is an accountant who plays jazz for a hobby', ' Justin plays jazz for a hobby']",1
478,"Question: Which is more likely?
1: Billy is an immigrant
2: Billy is an immigrant and Trump supporter
Answer:","Question: 
            Billy is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Billy is an immigrant
2: Billy is an immigrant and Trump supporter
Answer:","[' Billy is an immigrant', ' Billy is an immigrant and Trump supporter']",0
259,"Question: Which is more likely?
1: Alexander is an accountant who plays jazz for a hobby
2: Alexander plays jazz for a hobby
Answer:","Question: 
    Alexander is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Alexander is an accountant who plays jazz for a hobby
2: Alexander plays jazz for a hobby
Answer:","[' Alexander is an accountant who plays jazz for a hobby', ' Alexander plays jazz for a hobby']",1
419,"Question: Which is more likely?
1: Harold is an immigrant and Trump supporter
2: Harold is an immigrant
Answer:","Question: 
            Harold is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Harold is an immigrant and Trump supporter
2: Harold is an immigrant
Answer:","[' Harold is an immigrant and Trump supporter', ' Harold is an immigrant']",1
546,"Question: Which is more likely?
1: Roy plays jazz for a hobby
2: Roy is an accountant who plays jazz for a hobby
Answer:","Question: 
    Roy is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Roy plays jazz for a hobby
2: Roy is an accountant who plays jazz for a hobby
Answer:","[' Roy plays jazz for a hobby', ' Roy is an accountant who plays jazz for a hobby']",0
406,"Question: Which is more likely?
1: Terry is an immigrant
2: Terry is an immigrant and Trump supporter
Answer:","Question: 
            Terry is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Terry is an immigrant
2: Terry is an immigrant and Trump supporter
Answer:","[' Terry is an immigrant', ' Terry is an immigrant and Trump supporter']",0
13,"Question: Which is more likely?
1: John is an accountant who plays jazz for a hobby
2: John plays jazz for a hobby
Answer:","Question: 
    John is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: John is an accountant who plays jazz for a hobby
2: John plays jazz for a hobby
Answer:","[' John is an accountant who plays jazz for a hobby', ' John plays jazz for a hobby']",1
221,"Question: Which is more likely?
1: Larry is an immigrant and Trump supporter
2: Larry is an immigrant
Answer:","Question: 
            Larry is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Larry is an immigrant and Trump supporter
2: Larry is an immigrant
Answer:","[' Larry is an immigrant and Trump supporter', ' Larry is an immigrant']",1
587,"Question: Which is more likely?
1: Mason is an immigrant and Trump supporter
2: Mason is an immigrant
Answer:","Question: 
            Mason is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Mason is an immigrant and Trump supporter
2: Mason is an immigrant
Answer:","[' Mason is an immigrant and Trump supporter', ' Mason is an immigrant']",1
589,"Question: Which is more likely?
1: Philip is an accountant who plays jazz for a hobby
2: Philip plays jazz for a hobby
Answer:","Question: 
    Philip is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Philip is an accountant who plays jazz for a hobby
2: Philip plays jazz for a hobby
Answer:","[' Philip is an accountant who plays jazz for a hobby', ' Philip plays jazz for a hobby']",1
83,"Question: Which is more likely?
1: Anthony is an immigrant and Trump supporter
2: Anthony is an immigrant
Answer:","Question: 
            Anthony is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Anthony is an immigrant and Trump supporter
2: Anthony is an immigrant
Answer:","[' Anthony is an immigrant and Trump supporter', ' Anthony is an immigrant']",1
300,"Question: Which is more likely?
1: Tyler plays jazz for a hobby
2: Tyler is an accountant who plays jazz for a hobby
Answer:","Question: 
    Tyler is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Tyler plays jazz for a hobby
2: Tyler is an accountant who plays jazz for a hobby
Answer:","[' Tyler plays jazz for a hobby', ' Tyler is an accountant who plays jazz for a hobby']",0
191,"Question: Which is more likely?
1: Gary is an immigrant and Trump supporter
2: Gary is an immigrant
Answer:","Question: 
            Gary is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Gary is an immigrant and Trump supporter
2: Gary is an immigrant
Answer:","[' Gary is an immigrant and Trump supporter', ' Gary is an immigrant']",1
311,"Question: Which is more likely?
1: Aaron is an immigrant and Trump supporter
2: Aaron is an immigrant
Answer:","Question: 
            Aaron is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Aaron is an immigrant and Trump supporter
2: Aaron is an immigrant
Answer:","[' Aaron is an immigrant and Trump supporter', ' Aaron is an immigrant']",1
60,"Question: Which is more likely?
1: Christopher plays jazz for a hobby
2: Christopher is an accountant who plays jazz for a hobby
Answer:","Question: 
    Christopher is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Christopher plays jazz for a hobby
2: Christopher is an accountant who plays jazz for a hobby
Answer:","[' Christopher plays jazz for a hobby', ' Christopher is an accountant who plays jazz for a hobby']",0
222,"Question: Which is more likely?
1: Justin plays jazz for a hobby
2: Justin is an accountant who plays jazz for a hobby
Answer:","Question: 
    Justin is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Justin plays jazz for a hobby
2: Justin is an accountant who plays jazz for a hobby
Answer:","[' Justin plays jazz for a hobby', ' Justin is an accountant who plays jazz for a hobby']",0
154,"Question: Which is more likely?
1: Ronald is an immigrant
2: Ronald is an immigrant and Trump supporter
Answer:","Question: 
            Ronald is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Ronald is an immigrant
2: Ronald is an immigrant and Trump supporter
Answer:","[' Ronald is an immigrant', ' Ronald is an immigrant and Trump supporter']",0
348,"Question: Which is more likely?
1: Peter plays jazz for a hobby
2: Peter is an accountant who plays jazz for a hobby
Answer:","Question: 
    Peter is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Peter plays jazz for a hobby
2: Peter is an accountant who plays jazz for a hobby
Answer:","[' Peter plays jazz for a hobby', ' Peter is an accountant who plays jazz for a hobby']",0
514,"Question: Which is more likely?
1: Willie is an immigrant
2: Willie is an immigrant and Trump supporter
Answer:","Question: 
            Willie is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Willie is an immigrant
2: Willie is an immigrant and Trump supporter
Answer:","[' Willie is an immigrant', ' Willie is an immigrant and Trump supporter']",0
382,"Question: Which is more likely?
1: Jeremy is an immigrant
2: Jeremy is an immigrant and Trump supporter
Answer:","Question: 
            Jeremy is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Jeremy is an immigrant
2: Jeremy is an immigrant and Trump supporter
Answer:","[' Jeremy is an immigrant', ' Jeremy is an immigrant and Trump supporter']",0
527,"Question: Which is more likely?
1: Juan is an immigrant and Trump supporter
2: Juan is an immigrant
Answer:","Question: 
            Juan is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Juan is an immigrant and Trump supporter
2: Juan is an immigrant
Answer:","[' Juan is an immigrant and Trump supporter', ' Juan is an immigrant']",1
534,"Question: Which is more likely?
1: Elijah plays jazz for a hobby
2: Elijah is an accountant who plays jazz for a hobby
Answer:","Question: 
    Elijah is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Elijah plays jazz for a hobby
2: Elijah is an accountant who plays jazz for a hobby
Answer:","[' Elijah plays jazz for a hobby', ' Elijah is an accountant who plays jazz for a hobby']",0
91,"Question: Which is more likely?
1: Donald is an accountant who plays jazz for a hobby
2: Donald plays jazz for a hobby
Answer:","Question: 
    Donald is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Donald is an accountant who plays jazz for a hobby
2: Donald plays jazz for a hobby
Answer:","[' Donald is an accountant who plays jazz for a hobby', ' Donald plays jazz for a hobby']",1
216,"Question: Which is more likely?
1: Larry plays jazz for a hobby
2: Larry is an accountant who plays jazz for a hobby
Answer:","Question: 
    Larry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Larry plays jazz for a hobby
2: Larry is an accountant who plays jazz for a hobby
Answer:","[' Larry plays jazz for a hobby', ' Larry is an accountant who plays jazz for a hobby']",0
156,"Question: Which is more likely?
1: Edward plays jazz for a hobby
2: Edward is an accountant who plays jazz for a hobby
Answer:","Question: 
    Edward is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Edward plays jazz for a hobby
2: Edward is an accountant who plays jazz for a hobby
Answer:","[' Edward plays jazz for a hobby', ' Edward is an accountant who plays jazz for a hobby']",0
433,"Question: Which is more likely?
1: Carl is an accountant who plays jazz for a hobby
2: Carl plays jazz for a hobby
Answer:","Question: 
    Carl is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Carl is an accountant who plays jazz for a hobby
2: Carl plays jazz for a hobby
Answer:","[' Carl is an accountant who plays jazz for a hobby', ' Carl plays jazz for a hobby']",1
238,"Question: Which is more likely?
1: Brandon is an immigrant
2: Brandon is an immigrant and Trump supporter
Answer:","Question: 
            Brandon is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
Which is more likely?
1: Brandon is an immigrant
2: Brandon is an immigrant and Trump supporter
Answer:","[' Brandon is an immigrant', ' Brandon is an immigrant and Trump supporter']",0
533,"Question: Which is more likely?
1: Wayne is an immigrant and Trump supporter
2: Wayne is an immigrant
Answer:","Question: 
            Wayne is 53 years old. He is conservative and works in a coal mine in Wyoming. He strongly believes that we should make America great again.
            
1: Wayne is an immigrant and Trump supporter
2: Wayne is an immigrant
Answer:","[' Wayne is an immigrant and Trump supporter', ' Wayne is an immigrant']",1
235,"Question: Which is more likely?
1: Brandon is an accountant who plays jazz for a hobby
2: Brandon plays jazz for a hobby
Answer:","Question: 
    Brandon is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Brandon is an accountant who plays jazz for a hobby
2: Brandon plays jazz for a hobby
Answer:","[' Brandon is an accountant who plays jazz for a hobby', ' Brandon plays jazz for a hobby']",1
403,"Question: Which is more likely?
1: Terry is an accountant who plays jazz for a hobby
2: Terry plays jazz for a hobby
Answer:","Question: 
    Terry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Terry is an accountant who plays jazz for a hobby
2: Terry plays jazz for a hobby
Answer:","[' Terry is an accountant who plays jazz for a hobby', ' Terry plays jazz for a hobby']",1
583,"Question: Which is more likely?
1: Mason is an accountant who plays jazz for a hobby
2: Mason plays jazz for a hobby
Answer:","Question: 
    Mason is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Mason is an accountant who plays jazz for a hobby
2: Mason plays jazz for a hobby
Answer:","[' Mason is an accountant who plays jazz for a hobby', ' Mason plays jazz for a hobby']",1
294,"Question: Which is more likely?
1: Jerry plays jazz for a hobby
2: Jerry is an accountant who plays jazz for a hobby
Answer:","Question: 
    Jerry is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Jerry plays jazz for a hobby
2: Jerry is an accountant who plays jazz for a hobby
Answer:","[' Jerry plays jazz for a hobby', ' Jerry is an accountant who plays jazz for a hobby']",0
271,"Question: Which is more likely?
1: Patrick is an accountant who plays jazz for a hobby
2: Patrick plays jazz for a hobby
Answer:","Question: 
    Patrick is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
1: Patrick is an accountant who plays jazz for a hobby
2: Patrick plays jazz for a hobby
Answer:","[' Patrick is an accountant who plays jazz for a hobby', ' Patrick plays jazz for a hobby']",1
504,"Question: Which is more likely?
1: Albert plays jazz for a hobby
2: Albert is an accountant who plays jazz for a hobby
Answer:","Question: 
    Albert is 34 years old. He is intelligent, but unimaginative, compulsive, and
    generally lifeless. In school, he was strong in mathematics but weak in
    social studies and humanities.
    
Which is more likely?
1: Albert plays jazz for a hobby
2: Albert is an accountant who plays jazz for a hobby
Answer:","[' Albert plays jazz for a hobby', ' Albert is an accountant who plays jazz for a hobby']",0
